date,symbol,close
2020-06-30,CAT,125.25
2020-07-01,CAT,126.5
2020-07-02,CAT,126.06
2020-07-06,CAT,127.72
2020-07-07,CAT,129.43
2020-07-08,CAT,127.2
2020-07-09,CAT,128.13
2020-07-10,CAT,125.73
2020-07-13,CAT,128.01
2020-07-14,CAT,130.57
2020-07-15,CAT,136.88
2020-07-16,CAT,138.36
2020-07-17,CAT,137.63
2020-07-20,CAT,136.9
2020-07-21,CAT,134.63
2020-07-22,CAT,135.87
2020-07-23,CAT,136.98
2020-07-24,CAT,136.6
2020-07-27,CAT,137.58
2020-07-28,CAT,139.89
2020-07-29,CAT,138.03
2020-07-30,CAT,140.53
2020-07-31,CAT,136.73
2020-08-03,CAT,132.88
2020-08-04,CAT,131.78
2020-08-05,CAT,131.52
2020-08-06,CAT,134.97
2020-08-07,CAT,134.39
2020-08-10,CAT,134.92
2020-08-11,CAT,142.02
2020-08-12,CAT,142.53
2020-08-13,CAT,142.57
2020-08-14,CAT,140.67
2020-08-17,CAT,139.96
2020-08-18,CAT,138.72
2020-08-19,CAT,138.37
2020-08-20,CAT,138.02
2020-08-21,CAT,137.48
2020-08-24,CAT,138.43
2020-08-25,CAT,141.68
2020-08-26,CAT,141.15
2020-08-27,CAT,141.83
2020-08-28,CAT,143.37
2020-08-31,CAT,143.63
2020-09-01,CAT,142.31
2020-09-02,CAT,146.05
2020-09-03,CAT,149.27
2020-09-04,CAT,146.76
2020-09-08,CAT,148.18
2020-09-09,CAT,148.52
2020-09-10,CAT,152.69
2020-09-11,CAT,149.86
2020-09-14,CAT,153.83
2020-09-15,CAT,153.51
2020-09-16,CAT,148.6
2020-09-17,CAT,151.11
2020-09-18,CAT,153.87
2020-09-21,CAT,152.39
2020-09-22,CAT,145.33
2020-09-23,CAT,147.15
2020-09-24,CAT,144.38
2020-09-25,CAT,145.14
2020-09-28,CAT,145.91
2020-09-29,CAT,147.68
2020-09-30,CAT,147.41
2020-10-01,CAT,149.15
2020-10-02,CAT,146.71
2020-10-05,CAT,149.94
2020-10-06,CAT,153.49
2020-10-07,CAT,151.53
2020-10-08,CAT,154.77
2020-10-09,CAT,156.66
2020-10-12,CAT,158.94
2020-10-13,CAT,162.61
2020-10-14,CAT,162.12
2020-10-15,CAT,163.61
2020-10-16,CAT,165.04
2020-10-30,CAT,154.67
2020-11-02,CAT,157.05
2020-11-03,CAT,163.27
2020-11-04,CAT,167.69
2020-11-05,CAT,155.23
2020-11-06,CAT,163.09
2020-11-09,CAT,161.29
2020-11-10,CAT,170.82
2020-11-11,CAT,172.3
2020-11-12,CAT,169.46
2020-11-13,CAT,169.13
2020-11-16,CAT,171.71
2020-11-17,CAT,173.19
2020-11-18,CAT,171.91
2020-11-19,CAT,172.74
2020-11-20,CAT,172.9
2020-11-23,CAT,172.23
2020-11-24,CAT,174.78
2020-11-25,CAT,176.9
2020-11-27,CAT,174.63
2020-11-30,CAT,175.08
2020-12-01,CAT,173.59
2020-12-02,CAT,173.26
2020-12-03,CAT,173.87
2020-12-04,CAT,174.63
2020-12-07,CAT,182.21
2020-12-08,CAT,178.71
2020-12-09,CAT,178.84
2020-12-10,CAT,180.07
2020-12-11,CAT,178.85
2020-12-14,CAT,179.29
2020-12-15,CAT,178.05
2020-12-16,CAT,181.74
2020-12-17,CAT,179.5
2020-12-18,CAT,179.17
2020-12-21,CAT,180.96
2020-12-22,CAT,180.16
2020-12-23,CAT,176.58
2020-12-24,CAT,178.42
2020-12-28,CAT,179.56
2020-12-29,CAT,178.37
2020-12-30,CAT,176.65
2020-12-31,CAT,180.04
2021-01-04,CAT,182.02
2021-01-05,CAT,182.15
2021-01-06,CAT,183.64
2021-01-07,CAT,193.86
2021-01-08,CAT,194.23
2021-01-11,CAT,194.26
2021-01-12,CAT,193.86
2021-01-13,CAT,197.54
2021-01-14,CAT,195.89
2021-01-15,CAT,197.4
2021-01-19,CAT,195.73000000000002
2021-01-20,CAT,194.06
2021-01-21,CAT,192.34
2021-01-22,CAT,192.19
2021-01-25,CAT,191.94
2021-01-26,CAT,187.34
2021-01-27,CAT,187.21
2021-01-28,CAT,180.63
2021-01-29,CAT,184.34
2021-02-01,CAT,182.84
2021-02-02,CAT,184.72
2021-02-03,CAT,192.5
2021-02-04,CAT,191.45
2021-02-05,CAT,191.65
2021-02-08,CAT,193.0
2021-02-09,CAT,197.45
2021-02-10,CAT,197.28
2021-02-12,CAT,198.35
2021-02-16,CAT,197.99
2021-02-17,CAT,202.38
2021-02-18,CAT,202.3
2021-02-19,CAT,199.92
2021-02-22,CAT,209.91
2021-02-23,CAT,218.06
2021-02-24,CAT,220.18
2021-02-25,CAT,222.47
2021-02-26,CAT,221.82
2021-03-01,CAT,215.88
2021-03-02,CAT,219.76
2021-03-03,CAT,215.82
2021-03-04,CAT,214.91
2021-03-05,CAT,212.77
2021-03-08,CAT,220.16
2021-03-09,CAT,221.58
2021-03-10,CAT,216.8
2021-03-15,CAT,229.0
2021-03-16,CAT,230.74
2021-03-17,CAT,226.46
2021-03-18,CAT,233.63
2021-03-19,CAT,230.68
2021-03-22,CAT,225.29
2021-03-23,CAT,226.02
2021-03-24,CAT,218.25
2021-03-25,CAT,221.23
2021-03-26,CAT,224.25
2021-03-29,CAT,229.5
2021-04-01,CAT,231.87
2021-04-05,CAT,232.74
2021-04-06,CAT,233.71
2021-04-07,CAT,230.64
2021-04-08,CAT,230.41
2021-04-09,CAT,230.48
2021-04-12,CAT,230.75
2021-04-13,CAT,230.93
2021-04-14,CAT,229.35
2021-04-15,CAT,232.58
2021-04-16,CAT,232.52
2021-04-19,CAT,233.36
2021-04-20,CAT,232.39
2021-04-21,CAT,227.63
2021-04-22,CAT,232.46
2021-04-23,CAT,228.89
2021-04-26,CAT,230.11
2021-04-27,CAT,230.56
2021-04-28,CAT,230.34
2021-04-29,CAT,232.3
2021-04-30,CAT,227.47
2021-05-03,CAT,228.11
2021-05-04,CAT,228.17
2021-05-05,CAT,233.41
2021-05-06,CAT,237.88
2021-05-07,CAT,237.07
2021-05-10,CAT,240.99
2021-05-11,CAT,242.61
2021-05-12,CAT,239.3
2021-05-13,CAT,237.32
2021-05-14,CAT,240.07
2021-05-17,CAT,242.23
2021-05-18,CAT,244.79
2021-05-19,CAT,239.47
2021-05-20,CAT,236.87
2021-05-21,CAT,234.99
2021-05-24,CAT,237.24
2021-05-25,CAT,239.05
2021-05-26,CAT,237.17
2021-05-27,CAT,237.71
2021-05-28,CAT,241.28
2021-06-01,CAT,241.08
2021-06-02,CAT,242.76
2021-06-03,CAT,243.46
2021-06-04,CAT,243.84
2021-06-07,CAT,244.02
2021-06-08,CAT,239.76
2021-06-09,CAT,240.16
2021-06-10,CAT,234.65
2021-06-11,CAT,225.73
2021-06-14,CAT,220.7
2021-06-15,CAT,219.01
2021-06-16,CAT,219.46
2021-06-17,CAT,217.16
2021-06-18,CAT,209.45
2021-06-21,CAT,208.86
2021-06-22,CAT,213.21
2021-06-23,CAT,213.13
2021-06-24,CAT,213.79
2021-06-25,CAT,219.34
2021-06-28,CAT,216.31
2021-06-29,CAT,216.27
2021-06-30,CAT,215.1
